ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu
POOL-00019867,"InChI=1S/C11H10BrNO3S/c12-9-3-5-11(6-4-9)17(14,15)13-8-10-2-1-7-16-10/h1-7,13H,8H2",O=S(=O)(NCc1ccco1)c1ccc(Br)cc1,575.6889213529251,False,['329939-40-4'],1.8200466635
,,,,,,
POOL-00014729,"InChI=1S/C15H18F3NO4/c1-14(2,3)23-13(22)19-11(8-12(20)21)9-4-6-10(7-5-9)15(16,17)18/h4-7,11H,8H2,1-3H3,(H,19,22)(H,20,21)",CC(C)(C)OC(O)=NC(CC(=O)O)c1ccc(C(F)(F)F)cc1,573.8701648025535,False,['477849-00-6'],1.8670945408
POOL-00014683,"InChI=1S/C15H18F3NO4/c1-14(2,3)23-13(22)19-11(12(20)21)8-9-5-4-6-10(7-9)15(16,17)18/h4-7,11H,8H2,1-3H3,(H,19,22)(H,20,21)",CC(C)(C)OC(O)=NC(Cc1cccc(C(F)(F)F)c1)C(=O)O,591.1201648025535,False,['119349-14-3'],1.8683119587
POOL-00014531,"InChI=1S/C15H18F3NO4/c1-14(2,3)23-13(22)19-11(8-12(20)21)9-5-4-6-10(7-9)15(16,17)18/h4-7,11H,8H2,1-3H3,(H,19,22)(H,20,21)",CC(C)(C)OC(O)=NC(CC(=O)O)c1cccc(C(F)(F)F)c1,591.1201648025535,False,['683219-25-2'],1.8786973992
POOL-00007672,"InChI=1S/C14H16F3NO4/c1-13(2,3)22-12(21)18-10(11(19)20)8-4-6-9(7-5-8)14(15,16)17/h4-7,10H,1-3H3,(H,18,21)(H,19,20)",CC(C)(C)OC(O)=NC(C(=O)O)c1ccc(C(F)(F)F)cc1,558.9360611411561,False,"['847147-40-4', '1228549-08-3', '1228553-40-9']",1.8883531093
POOL-00014692,"InChI=1S/C15H18F3NO4/c1-14(2,3)23-13(22)19-11(12(20)21)8-9-4-6-10(7-5-9)15(16,17)18/h4-7,11H,8H2,1-3H3,(H,19,22)(H,20,21)",CC(C)(C)OC(O)=NC(Cc1ccc(C(F)(F)F)cc1)C(=O)O,573.8701648025535,False,['167496-29-9'],1.8574846811
POOL-00014490,"InChI=1S/C15H18F3NO4/c1-14(2,3)23-13(22)19-11(12(20)21)8-9-6-4-5-7-10(9)15(16,17)18/h4-7,11H,8H2,1-3H3,(H,19,22)(H,20,21)",CC(C)(C)OC(O)=NC(Cc1ccccc1C(F)(F)F)C(=O)O,591.1201648025535,False,['167993-21-7'],1.8754818201
POOL-00014725,"InChI=1S/C15H18F3NO4/c1-14(2,3)23-13(22)19-11(8-12(20)21)9-6-4-5-7-10(9)15(16,17)18/h4-7,11H,8H2,1-3H3,(H,19,22)(H,20,21)",CC(C)(C)OC(O)=NC(CC(=O)O)c1ccccc1C(F)(F)F,591.1201648025535,False,['954225-38-8'],1.8882246127
POOL-00025210,"InChI=1S/C14H16F3NO4/c1-14(2,3)22-13(21)18-10(12(19)20)6-7-4-8(15)11(17)9(16)5-7/h4-5,10H,6H2,1-3H3,(H,18,21)(H,19,20)",CC(C)(C)OC(O)=NC(Cc1cc(F)c(F)c(F)c1)C(=O)O,573.2361254485841,False,['870483-32-2'],1.8872109992
